name,death_year,canonization_year,origin_country,category,religious_order,feast_month,feast_day,gender,patron_topics,canonizing_pope,wikipedia_summary
Peter the Apostle,68,1000,Palestine,Martyr,,6.0,29.0,M,"fishermen, papacy",Pre-Congregation,"Saint Peter (born Shimon bar Yonah; 1 BC – AD 64/68), also known as Peter the Apostle, Simon Peter, Simeon, Simon, or Cephas, was one of the Twelve Apostles of Jesus and one of the first leaders of the early Christian Church. He appears repeatedly and prominently in all four New Testament gospels, as well as the Acts of the Apostles. Catholic and Orthodox tradition treats Peter as the first bishop of Rome – or pope – and also as the first bishop of Antioch. According to Christian tradition, Pete"
Paul the Apostle,67,1000,Turkey,Martyr,,6.0,29.0,M,"missionaries, theologians",Pre-Congregation,"Paul (born Saul of Tarsus; c. 5 – c. 64/65 AD), commonly known as Paul the Apostle or Saint Paul, was a Christian apostle who spread the teachings of Jesus in the first-century AD. For his contributions towards the New Testament, he is generally regarded as one of the most important figures of the Apostolic Age, and he also founded several Christian communities in Asia Minor and Europe from the mid-40s to the mid-50s AD.
The main sources of information on Paul's life and works are Paul's letters"
Stephen,36,1000,Palestine,Martyr,,12.0,26.0,M,"deacons, stonemasons",Pre-Congregation,"Stephen or Steven is an English male first name. It is particularly significant to Christians, as it belonged to Saint Stephen (Ancient Greek: Στέφανος, romanized: Stéphanos, lit. 'wreath, crown'), an early disciple and deacon who, according to the Book of Acts, was stoned to death; he is widely regarded as the first martyr (or ""protomartyr"") of the Christian Church.
The name, in both the forms Stephen and Steven, is often shortened to Steve or Stevie. In English, the female version of the name "
Mary Magdalene,63,1000,Palestine,Confessor,,7.0,22.0,F,"penitents, perfumers",Pre-Congregation,"Mary Magdalene (sometimes called Mary of Magdala, or simply the Magdalene or the Madeleine) was a woman who, according to the four canonical gospels, travelled with Jesus as one of his followers and was a witness to his crucifixion and resurrection. In Gnostic writings, Mary Magdalene is depicted as Jesus's closest disciple who uniquely understood his teachings, causing tension with Peter, and is honoured as the ""apostle to the apostles"".
Mary Magdalene is regarded by believers as a historical f"
John the Apostle,100,1000,Palestine,Confessor,,12.0,27.0,M,"theologians, booksellers",Pre-Congregation,"John the Apostle (Ancient Greek: Ἰωάννης; Latin: Ioannes; c. 6 AD – c. 100 AD), also known as Saint John the Beloved and, in Eastern Orthodox Christianity, Saint John the Theologian, was one of the Twelve Apostles of Jesus according to the New Testament. Generally listed as the youngest apostle, he was the son of Zebedee and Salome. His brother James was another of the Twelve Apostles. The Church Fathers identify him as John the Evangelist, John of Patmos, John the Elder, and the Beloved Discipl"
Ignatius of Antioch,108,1000,Syria,Martyr,,10.0,17.0,M,churches of the East,Pre-Congregation,"Ignatius of Antioch (; Ancient Greek: Ἰγνάτιος Ἀντιοχείας, romanized: Ignátios Antiokheías; died c. 108/140), also known as Ignatius Theophorus (Ἰγνάτιος ὁ Θεοφόρος, Ignátios ho Theophóros, 'the God-bearing'), was an early Christian writer and the Patriarch of Antioch. While en route to Rome, where he was to be killed, Ignatius wrote a series of letters. This correspondence forms a central part of a later collection of works by the Apostolic Fathers. He is considered one of the three most import"
Polycarp of Smyrna,155,1000,Turkey,Martyr,,2.0,23.0,M,earache sufferers,Pre-Congregation,"Polycarp (; Greek: Πολύκαρπος, Polýkarpos; Latin: Polycarpus; AD 69 – 155) was a Christian bishop of Smyrna. According to the Martyrdom of Polycarp, he died a martyr, bound and burned at the stake, then stabbed when the fire failed to consume his body. Polycarp is regarded as a saint and Church Father in the Eastern Orthodox Church, the Catholic Church, Oriental Orthodox Churches, Lutheranism, and Anglicanism.
Both Irenaeus and Tertullian say that Polycarp had been a disciple of John the Apostle"
Justin Martyr,165,1000,Palestine,Martyr,,6.0,1.0,M,philosophers,Pre-Congregation,"Justin, known posthumously as Justin Martyr (Greek: Ἰουστῖνος ὁ Μάρτυς, romanized: Ioustînos ho Mártys; c. 90–100 AD – 165 AD), also known as Justin the Philosopher, was an early Christian apologist and philosopher.
Most of his works are lost, but two apologies and a dialogue did survive. The First Apology, his most well-known text, passionately defends the morality of the Christian life, and provides various ethical and philosophical arguments to convince the Roman emperor Antoninus Pius to aba"
Irenaeus of Lyon,202,1000,Turkey,Martyr,,6.0,28.0,M,"apologists, theologians",Pre-Congregation,"Irenaeus ( or ; Ancient Greek: Εἰρηναῖος, romanized: Eirēnaîos; c. 125 – c. 202 AD) was a Greek bishop noted for his role in guiding and expanding Christian communities in the southern regions of present-day France and, more widely, for the development of Christian theology by opposing Gnostic interpretations of Christian Scripture and defending orthodoxy. Originating from Smyrna, he had seen and heard the preaching of Polycarp, who in turn was said to have heard John the Evangelist. 
Chosen as "
Perpetua,203,1000,Tunisia,Martyr,,3.0,7.0,F,martyrs,Pre-Congregation,"Perpetua and Felicity (Latin: Perpetua et Felicitas; c. 182 – c. 203) were Christian martyrs of the third century. Vibia Perpetua was a recently married, well-educated noblewoman, said to have been 22 years old at the time of her death, and mother of an infant son she was nursing. Felicity, a slave woman imprisoned with her and pregnant at the time, was martyred with her. They were put to death along with others at Carthage in the Roman province of Africa.
The Passion of Saints Perpetua and Feli"
